participant;gender;educational_background;word;position_inside_the_word;preceding_vowel;word_category;F3 Midpoint;F4 Midpoint;F3 Average;F4 Average
pr02;man;doctor;largas;internal ;a;adjective;1893.8834801727098;2877.6322623924625;2338.6062888617266;3232.5550472155733
pr02;man;doctor;descargando;internal ;a;verb;2579.533303162455;3830.206671448047;2528.4540673127563;3569.1227032893034
pr02;man;doctor;mejor;final;o;adjective;1676.8936789698116;3036.1313752622427;2418.7740029673623;3562.9702642828743
pr03;man;master;york ;final;o;noun;1878.48221268098;4014.6447297724903;1887.1759597553935;3806.844202838944
pr03;man;master;puerto;internal ;e;noun;1558.7049589659441;3133.2782376490104;1948.9901187730131;3116.8026820299133
pr03;man;master;hablar;final;a;verb;2559.8256008465464;3999.9394507519783;2303.1355857952412;3397.0433711268984
pr03;man;master;oportunidades;internal ;o;noun;2486.2426014949456;3796.181364635874;2532.737511349983;3792.112524046664
pr03;man;master;lugar;final;a;noun;2252.099310821196;3037.485040966487;2261.5608382930427;3079.8906082533176
pr03;man;master;prosperar;final;a;verb;2066.5411133798652;2821.5227871518236;2089.7500550240634;3273.2339256969076
pr03;man;master;puerto;internal ;e;noun;1985.658888819433;3427.6614366261156;2031.7210035986545;3438.580743202252
pr03;man;master;buscar;final;a;verb;2282.1946333208407;3302.0586434805355;2257.818867566958;3354.866307171503
pr03;man;master;puerta;internal ;e;noun;2358.7999969485236;3705.507170910765;2267.08446585443;3477.05936302712
pr03;man;master;llegar;final;a;verb;2280.8229289536366;2517.7465938920654;2276.7326085749532;2761.041238109665
pr03;man;master;york ;final;o;noun;1953.3881709863033;3781.964163133096;1966.9797278107885;3681.2218685862745
pr03;man;master;invierno;internal ;e;noun;2573.8988709694977;2867.7020092610355;2558.216268193355;2867.212612327451
pr03;man;master;fuerte ;internal ;e;adjective;2344.2136770105835;4135.4919748220245;2347.530002302645;3754.8921572409367
pr03;man;master;intimidar;final;a;verb;2558.7592781766784;3581.0526579443917;2289.680881104292;3478.520418597583
pr03;man;master;mejor;final;o;adjective;1937.7558251892633;2556.550177494273;1884.285036918841;2580.878919635583
pr03;man;master;puertorriqueños;internal ;e;noun;2015.8161679579623;2987.41518561895;1966.3516402500804;2941.629193851545
pr03;man;master;estar;final;a;verb;2355.4344446380937;3255.914414090365;2358.655423741139;3262.3088607506998
pr03;man;master;cierta;internal ;e;adjective;2508.86000644009;3897.970552183004;2543.6351545107227;3915.4746366229833
pr03;man;master;fuerte ;internal ;e;adjective;2156.7430146727206;3742.145851751583;2243.706417388306;3798.3446595340197
pr03;man;master;mar;final;a;noun;1952.8011168846483;2539.606196767749;2180.58927013035;2976.947375729101
pr03;man;master;calor;final;o;noun;1838.5860622863652;3277.0048074437923;1829.2003843090106;3536.2848353980708
